/home/seth/dev/cytools_project/venv/lib/python3.13/site-packages/cytools/config.py:154: UserWarning: 
**************************************************************
Warning: You have enabled experimental features of CYTools.
Some of these features may be broken or not fully tested,
and they may undergo significant changes in future versions.
**************************************************************

  warnings.warn(
========================================================================
  B-01: SCAN χ=-6 POLYTOPES FOR h⁰ ≥ 3 LINE BUNDLES
  Method: Verified Koszul + lattice-point counting
========================================================================


────────────────────────────────────────────────────────────
  h11=13, h21=16  —  3 polytopes
  poly  49: n_toric=20, h11_eff=15, 3104 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  50: n_toric=20, h11_eff=15, 2434 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  51: n_toric=20, h11_eff=15, 2360 χ=3 bundles, max h⁰=1
  poly  52: n_toric=20, h11_eff=15, 2004 χ=3 bundles, max h⁰=1
  poly  53: n_toric=20, h11_eff=15, 2054 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  54: n_toric=20, h11_eff=15, 2376 χ=3 bundles, max h⁰=1
  poly  55: n_toric=20, h11_eff=15, 2954 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★
  poly  56: n_toric=20, h11_eff=15, 2816 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  57: n_toric=20, h11_eff=15, 3074 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  58: n_toric=19, h11_eff=14, 1976 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  59: n_toric=20, h11_eff=15, 2974 χ=3 bundles, max h⁰=1
  poly  60: n_toric=21, h11_eff=15, 2204 χ=3 bundles, max h⁰=1
  poly  61: n_toric=18, h11_eff=13, 1576 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  62: n_toric=19, h11_eff=14, 2272 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★ [NF]
  poly  63: n_toric=20, h11_eff=15, 2434 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  64: n_toric=21, h11_eff=15, 2634 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  65: n_toric=21, h11_eff=15, 2432 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  66: n_toric=20, h11_eff=15, 2244 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  67: n_toric=19, h11_eff=14, 1428 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★ [NF]
  poly  68: n_toric=20, h11_eff=15, 2418 χ=3 bundles, max h⁰=1
  poly  69: n_toric=21, h11_eff=15, 2604 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  70: n_toric=20, h11_eff=15, 2270 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  71: n_toric=19, h11_eff=14, 1724 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  72: n_toric=20, h11_eff=15, 2468 χ=3 bundles, max h⁰=1
  poly  73: n_toric=20, h11_eff=15, 2130 χ=3 bundles, max h⁰=1
  poly  74: n_toric=21, h11_eff=15, 2162 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  75: n_toric=20, h11_eff=15, 2140 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  76: n_toric=18, h11_eff=13, 1266 χ=3 bundles, max h⁰=1 [NF]
  poly  77: n_toric=19, h11_eff=14, 1682 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly  78: n_toric=19, h11_eff=14, 1786 χ=3 bundles, max h⁰=1 [NF]
  poly  79: n_toric=20, h11_eff=15, 2392 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  80: n_toric=20, h11_eff=15, 3040 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  81: n_toric=20, h11_eff=15, 2728 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  82: n_toric=21, h11_eff=15, 2798 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  83: n_toric=21, h11_eff=15, 2814 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  84: n_toric=20, h11_eff=15, 2534 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  85: n_toric=20, h11_eff=15, 2242 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  86: n_toric=18, h11_eff=13, 1684 χ=3 bundles, max h⁰=9 ★★★ HIT ★★★ [NF]
  poly  87: n_toric=20, h11_eff=15, 2274 χ=3 bundles, max h⁰=1
  poly  88: n_toric=20, h11_eff=15, 2634 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  89: n_toric=20, h11_eff=15, 1858 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  90: n_toric=21, h11_eff=15, 2146 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  91: n_toric=19, h11_eff=14, 2292 χ=3 bundles, max h⁰=13 ★★★ HIT ★★★ [NF]
  poly  92: n_toric=21, h11_eff=15, 2660 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
