/usr/local/lib/python3.12/site-packages/cytools/config.py:154: UserWarning: 
**************************************************************
Warning: You have enabled experimental features of CYTools.
Some of these features may be broken or not fully tested,
and they may undergo significant changes in future versions.
**************************************************************

  warnings.warn(
========================================================================
  TIER 0.25 FAST PRE-FILTER (early termination + min_h0 bound)
  h¹¹ = [18], limit=all, workers=14
========================================================================

────────────────────────────────────────────────────────────
  h11=18, h21=21  —  100000 polytopes (fetched in 185.9s)
────────────────────────────────────────────────────────────
  [12800/100000] 1340s, 9.6 poly/s, ETA 9128s, 6428 pass / 6372 skip
  [12900/100000] 1350s, 9.6 poly/s, ETA 9116s, 6472 pass / 6428 skip
  [13000/100000] 1362s, 9.5 poly/s, ETA 9112s, 6513 pass / 6487 skip
  [13100/100000] 1374s, 9.5 poly/s, ETA 9114s, 6541 pass / 6559 skip
  [13200/100000] 1386s, 9.5 poly/s, ETA 9116s, 6570 pass / 6630 skip
  [13300/100000] 1395s, 9.5 poly/s, ETA 9096s, 6608 pass / 6692 skip
  [13400/100000] 1406s, 9.5 poly/s, ETA 9087s, 6666 pass / 6734 skip
  [13500/100000] 1414s, 9.5 poly/s, ETA 9063s, 6718 pass / 6782 skip
  [13600/100000] 1424s, 9.6 poly/s, ETA 9045s, 6776 pass / 6824 skip
  [13700/100000] 1434s, 9.6 poly/s, ETA 9031s, 6835 pass / 6865 skip
  [13800/100000] 1442s, 9.6 poly/s, ETA 9006s, 6901 pass / 6899 skip
  [13900/100000] 1453s, 9.6 poly/s, ETA 9001s, 6960 pass / 6940 skip
  [14000/100000] 1462s, 9.6 poly/s, ETA 8980s, 7022 pass / 6978 skip
  [14100/100000] 1471s, 9.6 poly/s, ETA 8964s, 7080 pass / 7020 skip
  [14200/100000] 1483s, 9.6 poly/s, ETA 8960s, 7123 pass / 7077 skip
  [14300/100000] 1491s, 9.6 poly/s, ETA 8938s, 7170 pass / 7130 skip
  [14400/100000] 1502s, 9.6 poly/s, ETA 8931s, 7210 pass / 7190 skip
  [14500/100000] 1514s, 9.6 poly/s, ETA 8928s, 7253 pass / 7247 skip
  [14600/100000] 1526s, 9.6 poly/s, ETA 8924s, 7293 pass / 7307 skip
  [14700/100000] 1536s, 9.6 poly/s, ETA 8911s, 7341 pass / 7359 skip
  [14800/100000] 1546s, 9.6 poly/s, ETA 8900s, 7392 pass / 7408 skip
  [14900/100000] 1556s, 9.6 poly/s, ETA 8887s, 7435 pass / 7465 skip
  [15000/100000] 1569s, 9.6 poly/s, ETA 8889s, 7466 pass / 7534 skip
  [15100/100000] 1582s, 9.5 poly/s, ETA 8895s, 7499 pass / 7601 skip
  [15200/100000] 1593s, 9.5 poly/s, ETA 8885s, 7533 pass / 7667 skip
  [15300/100000] 1606s, 9.5 poly/s, ETA 8888s, 7575 pass / 7725 skip
  [15400/100000] 1621s, 9.5 poly/s, ETA 8904s, 7603 pass / 7797 skip
  [15500/100000] 1634s, 9.5 poly/s, ETA 8905s, 7633 pass / 7867 skip
  [15600/100000] 1648s, 9.5 poly/s, ETA 8916s, 7670 pass / 7930 skip
  [15700/100000] 1658s, 9.5 poly/s, ETA 8904s, 7700 pass / 8000 skip
  [15800/100000] 1667s, 9.5 poly/s, ETA 8882s, 7748 pass / 8052 skip
  [15900/100000] 1675s, 9.5 poly/s, ETA 8860s, 7813 pass / 8087 skip
  [16000/100000] 1687s, 9.5 poly/s, ETA 8859s, 7850 pass / 8150 skip
  [16100/100000] 1701s, 9.5 poly/s, ETA 8864s, 7889 pass / 8211 skip
