
────────────────────────────────────────────────────────────
  h11=15, h21=18  —  553 polytopes (fetched in 1.8s)
────────────────────────────────────────────────────────────
  poly  114: n_toric=20, h11_eff=15,  1784 χ=3 bundles, max h⁰=1
  poly  115: n_toric=20, h11_eff=15,  2176 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  116: n_toric=20, h11_eff=15,  2208 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  117: n_toric=20, h11_eff=15,  2136 χ=3 bundles, max h⁰=1
  poly  118: n_toric=20, h11_eff=15,  2728 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  119: n_toric=20, h11_eff=15,  2488 χ=3 bundles, max h⁰=1
  poly  120: n_toric=20, h11_eff=15,  2662 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  121: n_toric=20, h11_eff=15,  2902 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  122: n_toric=20, h11_eff=15,  2586 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  123: n_toric=20, h11_eff=15,  2322 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  124: n_toric=20, h11_eff=15,  1912 χ=3 bundles, max h⁰=1
  poly  125: n_toric=20, h11_eff=15,  2206 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  126: n_toric=21, h11_eff=15,  2166 χ=3 bundles, max h⁰=1
  poly  127: n_toric=21, h11_eff=15,  2062 χ=3 bundles, max h⁰=17 ★★★ HIT ★★★
  poly  128: n_toric=22, h11_eff=15,  1614 χ=3 bundles, max h⁰=1
  poly  129: n_toric=21, h11_eff=15,  1806 χ=3 bundles, max h⁰=17 ★★★ HIT ★★★
  poly  130: n_toric=19, h11_eff=14,  2574 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  131: n_toric=19, h11_eff=14,  2440 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  132: n_toric=20, h11_eff=15,  3072 χ=3 bundles, max h⁰=1
  poly  133: n_toric=20, h11_eff=15,  2014 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★
  poly  134: n_toric=19, h11_eff=14,  1870 χ=3 bundles, max h⁰=1 [NF]
  poly  135: n_toric=19, h11_eff=14,  1554 χ=3 bundles, max h⁰=1 [NF]
  poly  136: n_toric=20, h11_eff=15,  2472 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  137: n_toric=19, h11_eff=14,  2084 χ=3 bundles, max h⁰=2 (h⁰=2) [NF]
  poly  138: n_toric=20, h11_eff=15,  2236 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  139: n_toric=20, h11_eff=15,  2132 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★
  poly  140: n_toric=19, h11_eff=14,  1660 χ=3 bundles, max h⁰=1 [NF]
  poly  141: n_toric=20, h11_eff=15,  2600 χ=3 bundles, max h⁰=1
  poly  142: n_toric=20, h11_eff=15,  2772 χ=3 bundles, max h⁰=1
  poly  143: n_toric=20, h11_eff=15,  2522 χ=3 bundles, max h⁰=1
  poly  144: n_toric=21, h11_eff=15,  2080 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★
  poly  145: n_toric=20, h11_eff=15,  2474 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★
  poly  146: n_toric=20, h11_eff=15,  2382 χ=3 bundles, max h⁰=10 ★★★ HIT ★★★
  poly  147: n_toric=20, h11_eff=15,  1946 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  148: n_toric=19, h11_eff=14,  1824 χ=3 bundles, max h⁰=1 [NF]
  poly  149: n_toric=20, h11_eff=15,  2204 χ=3 bundles, max h⁰=1
  poly  150: n_toric=20, h11_eff=15,  2406 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  151: n_toric=20, h11_eff=15,  2602 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★
  poly  152: n_toric=20, h11_eff=15,  2440 χ=3 bundles, max h⁰=1
  poly  153: n_toric=21, h11_eff=15,  2402 χ=3 bundles, max h⁰=9 ★★★ HIT ★★★
  poly  154: n_toric=20, h11_eff=15,  1952 χ=3 bundles, max h⁰=1
  poly  155: n_toric=20, h11_eff=15,  3004 χ=3 bundles, max h⁰=2 (h⁰=2)
