
────────────────────────────────────────────────────────────
  h11=16, h21=19  —  5180 polytopes (fetched in 13.3s)
────────────────────────────────────────────────────────────
  poly   92: n_toric=21, h11_eff=16,  1252 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   93: n_toric=20, h11_eff=14,  1792 χ=3 bundles, max h⁰=5 ★★★ HIT ★★★ [NF]
  poly   94: n_toric=20, h11_eff=14,  1866 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly   95: n_toric=22, h11_eff=16,  1484 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly   96: n_toric=19, h11_eff=14,  2162 χ=3 bundles, max h⁰=4 ★★★ HIT ★★★ [NF]
  poly   97: n_toric=21, h11_eff=16,  1644 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly   98: n_toric=21, h11_eff=16,  1464 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly   99: n_toric=20, h11_eff=15,  2324 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★ [NF]
  poly  100: n_toric=20, h11_eff=15,  2606 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★ [NF]
  poly  101: n_toric=22, h11_eff=16,  1434 χ=3 bundles, max h⁰=2 (h⁰=2)
  poly  102: n_toric=21, h11_eff=16,  1444 χ=3 bundles, max h⁰=1
  poly  103: n_toric=23, h11_eff=16,  1036 χ=3 bundles, max h⁰=3 ★★★ HIT ★★★
  poly  104: n_toric=20, h11_eff=15,  2946 χ=3 bundles, max h⁰=1 [NF]
  poly  105: n_toric=21, h11_eff=15,  2506 χ=3 bundles, max h⁰=12 ★★★ HIT ★★★ [NF]
  poly  106: n_toric=21, h11_eff=16,  1306 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  107: n_toric=22, h11_eff=16,  1150 χ=3 bundles, max h⁰=6 ★★★ HIT ★★★
  poly  108: n_toric=22, h11_eff=16,  1306 χ=3 bundles, max h⁰=1
  poly  109: n_toric=19, h11_eff=14,  2356 χ=3 bundles, max h⁰=1 [NF]
  poly  110: n_toric=21, h11_eff=16,  1062 χ=3 bundles, max h⁰=1
