poly_id,h11,h21,chi,n_vertices,n_points,is_favorable,tier1_score,tier1_max,n_rigid_dP,n_K3,n_intnums,n_kahler_walls,n_mori_generators,vol_tip,k_ratio,h11_quotient,gl_order,error
poly_201,15,18,-6,13,20,True,7,7,14,0,275,74,257,3460.4999999999877,43.0,8,2,
poly_202,,,,13,19,False,,,,,,,,,,,,non-favorable
poly_203,15,18,-6,13,20,True,7,7,14,0,270,84,161,10128.833333326525,81.0,11,1,
poly_204,,,,13,19,False,,,,,,,,,,,,non-favorable
poly_205,15,18,-6,13,20,True,7,7,15,0,274,79,1688,3092.9215670106632,46.0,10,1,
poly_206,15,18,-6,13,20,True,7,7,15,0,272,76,92,28199.166665463323,22.75,9,1,
poly_207,15,18,-6,13,20,True,7,7,14,0,262,86,155,17280.333333124938,44.5,8,1,
poly_208,15,18,-6,13,20,True,7,7,16,0,272,92,191,36851.08428785619,49.0,7,1,
poly_209,15,18,-6,13,20,True,7,7,16,0,278,83,272,9297.007517524002,43.0,9,1,
poly_210,15,18,-6,13,20,True,7,7,15,0,269,89,325,11522.49999999811,44.0,10,1,
poly_211,15,18,-6,13,20,True,7,7,15,0,271,83,244,5715.666666666609,22.25,11,1,
poly_212,15,18,-6,13,21,True,7,7,15,0,260,84,129,32745.839505611435,44.0,11,1,
poly_213,15,18,-6,13,20,True,7,7,14,0,265,78,1468,4116.499999999985,17.2,8,2,
poly_214,15,18,-6,13,20,True,7,7,15,0,276,76,310,4540.33333333326,21.5,10,1,
poly_215,15,18,-6,13,20,True,7,7,14,0,259,79,439,16704.185185173614,17.2,9,1,
poly_216,15,18,-6,13,20,True,7,7,15,0,263,78,422,3664.1606405652005,21.5,8,1,
poly_217,15,18,-6,13,20,True,7,7,15,0,263,78,361,5586.333333333226,17.2,10,1,
poly_218,15,18,-6,13,20,True,7,7,16,0,267,78,999,9535.499999988377,28.333333333333332,8,2,
poly_219,15,18,-6,14,21,True,7,7,15,0,275,83,580,10034.874999991567,29.333333333333332,9,2,
poly_220,15,18,-6,13,20,True,7,7,14,1,269,76,268,5705.333333333185,30.333333333333332,9,1,
poly_221,15,18,-6,13,20,True,7,7,17,0,276,73,371,6215.666666666376,21.25,9,1,
poly_222,15,18,-6,13,20,True,7,7,14,0,269,74,924,5154.241464363006,18.2,9,1,
poly_223,15,18,-6,13,21,True,7,7,16,0,266,83,846,17325.803403900594,44.5,9,1,
poly_224,,,,13,20,False,,,,,,,,,,,,non-favorable
poly_225,15,18,-6,13,21,True,7,7,15,0,259,83,117,33604.67283866214,44.0,10,1,
poly_226,15,18,-6,13,20,True,6,6,16,0,279,79,600,3392.0432098763868,,8,1,
poly_227,15,18,-6,13,20,True,7,7,14,0,277,79,188,3886.4999999999786,86.0,10,1,
poly_228,15,18,-6,13,21,True,7,7,14,0,264,82,805,10910.833333220653,44.0,9,1,
poly_229,15,18,-6,13,20,True,7,7,15,0,287,80,1211,5196.499999999867,39.5,7,1,
poly_230,15,18,-6,13,20,True,7,7,13,1,271,73,155,3184.876824158631,91.0,7,1,
poly_231,15,18,-6,13,20,True,7,7,14,0,282,75,390,4770.1666666666615,86.0,10,1,
poly_232,15,18,-6,13,20,True,7,7,16,0,285,72,1284,1638.4999999999889,17.2,8,1,
poly_233,15,18,-6,13,20,True,6,6,16,0,268,82,225,16220.999999974858,,11,1,
poly_234,15,18,-6,13,20,True,6,6,16,0,275,82,510,8692.333333294493,,11,1,
