rank,poly_idx,score,n_clean,max_h0,n_chi3,n_dp,has_swiss,best_tau,n_k3,n_ell,d3_unique,h11_eff,favorable,n_fibers,has_SM,has_GUT,best_gauge,elapsed
148,99,23,17,6,2324,7,False,0.0,4,4,12,15,False,4,True,True,su(6) × su(2) × su(6) × U(1)^3,2.1119537353515625
149,381,23,17,5,1232,4,False,0.0,3,3,12,16,True,3,True,True,su(2) × su(3) × su(6) × su(4),1.2460379600524902
150,9,23,17,13,2110,5,False,0.0,3,1,11,14,False,1,True,True,su(7) × su(2) × su(5) × U(1)^3,1.2964966297149658
151,682,23,15,6,2238,6,False,0.0,5,6,13,15,False,6,True,True,su(2) × su(4) × su(5) × su(3) × U(1)^3,1.7452659606933594
152,291,23,15,6,2618,5,False,0.0,3,3,12,15,False,3,True,True,su(4) × su(3) × su(2) × su(3) × U(1)^2,2.1548547744750977
153,646,23,14,6,2122,5,False,0.0,5,10,11,15,False,10,True,True,su(3) × su(5) × su(2) × su(6),2.1194355487823486
154,2267,23,14,6,1074,5,False,0.0,3,3,10,16,True,3,True,True,su(5) × su(3) × su(6) × su(3),1.4883756637573242
155,22,23,13,6,1324,3,False,0.0,4,6,10,13,False,6,True,True,su(4) × su(3) × su(4) × su(2) × U(1)^2,0.9185035228729248
156,1254,23,13,10,2252,6,False,0.0,3,3,10,14,False,3,True,True,su(4) × su(8) or e7 × U(1)^2,1.7018611431121826
157,2038,23,12,9,2026,3,False,0.0,6,11,10,13,False,11,True,True,su(2) × su(4) × su(2) × su(5) × su(2) × U(1)^2,0.7462940216064453
158,1632,23,12,6,2210,8,False,0.0,4,4,11,14,False,4,True,True,su(4) × su(8) or e7 × U(1)^3,0.9360013008117676
159,188,23,12,10,1970,2,False,0.0,2,1,11,14,False,1,True,False,su(3) × su(4) × su(3) × U(1)^3,1.6129302978515625
160,93,23,11,5,1792,5,False,0.0,3,3,10,14,False,3,True,True,su(5) × su(2) × su(6) × su(2),1.0547456741333008
161,2513,23,10,6,3152,8,False,0.0,6,7,10,15,False,7,True,True,su(2) × su(4) × su(2) × su(2) × su(5) × U(1)^2,2.475923538208008
162,38,23,5,11,1476,1,True,599.9999992556943,1,0,5,14,False,0,False,False,,0.9253602027893066
163,1066,22,19,6,2078,6,False,0.0,5,6,9,14,False,6,True,True,su(2) × su(4) × su(3) × su(5) × U(1)^1,0.8508262634277344
164,1042,22,18,6,1158,11,False,0.0,6,13,9,16,True,13,True,True,su(6) × su(2) × su(6) × U(1)^3,1.2549004554748535
165,2078,22,16,6,2096,4,False,0.0,6,11,9,14,False,11,True,True,su(2) × su(4) × su(5) × su(2) × su(3) × U(1)^1,0.978996992111206
166,3607,22,15,6,2478,4,False,0.0,7,13,8,14,False,13,True,True,su(3) × su(3) × su(3) × su(5) × U(1)^2,1.0532221794128418
167,152,22,15,10,1840,6,False,0.0,5,6,9,14,False,6,True,True,su(6) × su(6) × U(1)^4,1.4562947750091553
168,198,22,13,6,2576,8,False,0.0,4,4,9,15,False,4,True,True,su(5) × su(2) × su(7) × U(1)^3,1.8847324848175049
169,1866,22,11,6,1042,6,False,0.0,5,6,8,16,True,6,True,True,su(5) × su(2) × su(8) or e7 × U(1)^2,0.8449234962463379
170,1803,22,10,9,2424,4,False,0.0,7,13,8,14,False,13,True,True,su(3) × su(3) × su(3) × su(5) × U(1)^2,1.715453863143921
171,1272,22,10,6,2610,6,False,0.0,6,11,6,15,False,11,True,True,su(2) × su(2) × su(3) × su(4) × su(3) × su(2),2.1747148036956787
