h11,h21,poly_idx,favorable,h11_eff,n_chi3,n_computed,max_h0,h0_3_count,status
16,19,2017,False,15,2886,2886,1,0,ok
16,19,2018,True,16,1456,1456,1,0,ok
16,19,2019,True,16,1176,1176,3,2,ok
16,19,2020,True,16,1060,1060,1,0,ok
16,19,2021,True,16,1136,1136,2,0,ok
16,19,2022,True,16,1164,1164,3,2,ok
16,19,2023,True,16,1274,1274,3,4,ok
16,19,2024,True,16,1682,1682,1,0,ok
16,19,2025,True,16,1124,1124,3,8,ok
16,19,2026,False,15,2340,2340,3,2,ok
16,19,2027,True,16,1362,1362,2,0,ok
16,19,2028,True,16,1208,1208,3,2,ok
16,19,2029,False,15,2530,2530,3,2,ok
16,19,2030,True,16,1182,1182,2,0,ok
16,19,2031,True,16,1090,1090,1,0,ok
16,19,2032,False,15,2682,2682,3,2,ok
16,19,2033,False,15,2076,2076,1,0,ok
16,19,2034,True,16,1160,1160,1,0,ok
16,19,2035,False,15,2624,2624,4,68,ok
16,19,2036,True,16,1032,1032,3,2,ok
16,19,2037,True,16,1396,1396,3,4,ok
16,19,2038,False,13,2026,2026,9,30,ok
16,19,2039,True,16,1274,1274,3,2,ok
16,19,2040,True,16,1146,1146,3,2,ok
16,19,2041,True,16,1486,1486,1,0,ok
16,19,2042,True,16,1204,1204,1,0,ok
16,19,2043,True,16,1248,1248,3,4,ok
16,19,2044,True,16,1396,1396,3,2,ok
16,19,2045,True,16,1428,1428,1,0,ok
16,19,2046,True,16,1268,1268,1,0,ok
16,19,2047,True,16,992,992,3,20,ok
16,19,2048,False,14,2530,2530,1,0,ok
16,19,2049,True,16,1184,1184,4,10,ok
16,19,2050,True,16,1420,1420,3,2,ok
16,19,2051,True,16,1260,1260,2,0,ok
16,19,2052,True,16,1114,1114,1,0,ok
16,19,2053,False,15,2656,2656,4,48,ok
16,19,2054,True,16,1296,1296,1,0,ok
16,19,2055,True,16,1232,1232,1,0,ok
16,19,2056,True,16,1354,1354,2,0,ok
16,19,2057,True,16,1394,1394,2,0,ok
16,19,2058,True,16,1248,1248,3,2,ok
16,19,2059,True,16,1144,1144,2,0,ok
16,19,2060,True,16,1468,1468,3,8,ok
16,19,2061,True,16,1314,1314,1,0,ok
16,19,2062,True,16,1302,1302,1,0,ok
16,19,2063,True,16,1272,1272,2,0,ok
16,19,2064,True,16,942,942,2,0,ok
16,19,2065,True,16,1180,1180,2,0,ok
16,19,2066,True,16,1170,1170,2,0,ok
16,19,2067,True,16,1316,1316,3,30,ok
16,19,2068,True,16,1330,1330,3,14,ok
16,19,2069,True,16,1310,1310,1,0,ok
16,19,2070,True,16,1596,1596,2,0,ok
16,19,2071,False,15,3022,3022,4,18,ok
16,19,2072,False,15,2262,2262,2,0,ok
16,19,2073,True,16,1094,1094,1,0,ok
16,19,2074,True,16,1394,1394,1,0,ok
16,19,2075,True,16,1234,1234,3,2,ok
16,19,2076,True,16,1270,1270,1,0,ok
16,19,2077,True,16,1234,1234,3,2,ok
16,19,2078,False,14,2096,2096,6,48,ok
16,19,2079,True,16,966,966,1,0,ok
16,19,2080,False,15,2282,2282,1,0,ok
16,19,2081,True,16,1242,1242,2,0,ok
16,19,2082,True,16,1426,1426,2,0,ok
16,19,2083,True,16,910,910,3,22,ok
16,19,2084,True,16,1352,1352,1,0,ok
16,19,2085,True,16,1282,1282,1,0,ok
16,19,2086,True,16,1402,1402,2,0,ok
16,19,2087,True,16,1314,1314,1,0,ok
16,19,2088,False,15,1858,1858,1,0,ok
16,19,2089,True,16,1250,1250,2,0,ok
16,19,2090,True,16,1370,1370,2,0,ok
16,19,2091,True,16,1212,1212,3,2,ok
16,19,2092,True,16,1122,1122,3,2,ok
16,19,2093,True,16,1462,1462,2,0,ok
16,19,2094,True,16,1240,1240,3,2,ok
16,19,2095,True,16,1166,1166,1,0,ok
16,19,2096,True,16,1482,1482,1,0,ok
16,19,2097,True,16,1494,1494,1,0,ok
16,19,2098,True,16,1398,1398,1,0,ok
16,19,2099,True,16,1346,1346,2,0,ok
16,19,2100,True,16,1450,1450,1,0,ok
16,19,2101,True,16,1278,1278,2,0,ok
16,19,2102,True,16,1170,1170,1,0,ok
16,19,2103,True,16,1398,1398,2,0,ok
16,19,2104,True,16,1178,1178,3,6,ok
16,19,2105,True,16,1346,1346,3,2,ok
