rank,h11,poly_idx,favorable,h11_eff,tier15_score,probe_n_chi3,probe_truncated,probe_max_h0,probe_h0_ge3,probe_clean,n_k3_fib,n_ell_fib,elapsed_s
184,15,69,True,15,23,300,True,4,4,1,4,4,4.1
185,15,85,True,15,23,300,True,4,4,1,5,6,4.9
186,15,36,False,13,22,300,True,3,6,3,3,1,5.3
187,17,30,False,11,22,300,True,3,6,3,4,1,4.1
188,16,52,False,12,22,300,True,3,6,3,3,1,4.5
189,19,31,False,17,22,300,True,6,8,2,3,1,4.2
190,18,15,False,17,22,300,True,3,4,2,4,4,5.5
191,18,63,False,14,22,300,True,4,6,2,3,1,4.4
192,18,21,True,18,22,300,True,3,4,2,4,4,5.2
193,18,26,False,17,22,300,True,3,4,2,4,4,6.0
194,15,62,False,14,22,300,True,3,2,1,4,6,5.0
195,17,54,False,14,22,300,True,3,2,1,3,3,4.4
196,15,48,False,14,22,300,True,3,2,1,4,6,4.4
197,15,77,False,14,22,300,True,3,2,1,5,6,5.2
198,16,62,False,14,22,300,True,3,2,1,4,4,4.2
199,14,4,False,12,22,300,True,3,2,1,5,6,5.6
200,17,74,False,13,22,300,True,3,2,1,4,4,5.6
201,13,2,True,13,22,300,True,3,2,1,3,3,4.5
202,16,17,False,13,22,300,True,3,2,1,5,6,4.9
203,15,83,True,15,22,300,True,4,8,0,6,7,4.3
204,17,44,False,16,21,300,True,3,6,3,4,1,5.2
205,15,65,True,15,21,300,True,4,6,2,3,1,5.1
206,15,18,True,15,21,300,True,3,2,1,6,7,4.6
207,15,82,True,15,21,300,True,3,2,1,4,6,3.9
208,15,90,True,15,21,300,True,3,2,1,5,8,4.3
209,17,43,False,11,21,300,True,4,11,0,4,1,9.5
210,17,48,False,13,20,300,True,5,12,3,1,0,5.5
211,19,13,False,17,20,300,True,3,6,3,3,1,4.0
212,18,76,False,14,20,300,True,4,10,1,1,0,3.8
213,18,13,False,17,20,300,True,3,2,1,4,4,5.3
214,18,95,False,17,20,300,True,3,2,1,4,4,6.2
215,17,1,True,17,20,300,True,3,2,1,3,3,4.6
216,18,50,True,18,20,300,True,3,2,1,4,4,5.9
217,18,71,False,17,20,300,True,3,2,1,4,4,5.4
218,18,90,False,17,20,300,True,3,2,1,4,4,6.8
219,17,14,True,17,20,300,True,3,2,1,3,3,5.3
220,16,70,True,16,19,300,True,4,12,3,1,0,10.7
221,15,41,True,15,19,300,True,3,4,2,3,1,4.3
222,18,66,False,16,19,300,True,4,4,1,3,1,3.8
223,15,56,True,15,19,300,True,4,6,1,2,1,4.9
224,17,23,False,14,18,300,True,3,4,2,2,1,4.4
225,19,28,False,17,18,300,True,3,4,2,3,1,4.9
226,14,6,True,14,18,300,True,3,4,2,2,1,4.7
227,16,23,False,12,18,300,True,3,2,1,3,1,4.5
228,15,81,True,15,18,300,True,4,16,0,2,1,5.2
229,16,69,False,15,18,300,True,4,4,0,4,4,4.8
230,15,84,True,15,17,300,True,3,4,2,2,1,4.6
231,17,86,False,15,17,300,True,4,4,1,2,1,4.4
232,16,50,False,12,17,300,True,4,6,0,3,1,4.1
233,16,31,False,13,17,300,True,4,2,0,4,4,4.1
234,14,9,False,13,17,300,True,7,2,0,4,4,5.4
235,19,73,False,18,16,300,True,6,8,3,1,0,4.5
236,17,73,True,17,16,300,True,3,2,1,3,1,5.2
237,17,94,True,17,16,300,True,3,2,1,3,1,5.2
238,15,70,True,15,15,300,True,3,2,1,2,1,5.3
239,15,16,True,15,15,300,True,3,2,1,2,1,4.4
240,16,90,True,16,15,300,True,3,2,1,2,1,4.9
241,17,85,False,16,15,300,True,3,2,1,2,1,4.9
242,16,87,True,16,15,300,True,3,2,1,2,1,5.8
243,15,55,True,15,15,300,True,3,2,1,2,1,6.1
244,15,95,True,15,15,300,True,3,2,1,2,1,5.3
245,15,93,True,15,15,300,True,3,2,1,2,1,4.7
246,16,81,True,16,15,300,True,3,2,1,2,1,5.7
247,15,9,False,14,15,300,True,1,0,0,6,7,4.6
248,15,46,False,14,15,300,True,1,0,0,4,6,4.0
249,13,1,True,13,15,300,True,2,0,0,3,3,4.2
250,16,84,False,13,15,300,True,1,0,0,4,4,3.8
251,16,4,False,14,15,300,True,1,0,0,3,3,5.1
252,15,19,False,14,15,300,True,1,0,0,3,3,4.5
253,15,4,False,13,15,300,True,1,0,0,5,6,5.0
254,17,39,False,11,15,300,True,4,4,0,4,1,4.6
255,16,37,False,13,15,300,True,1,0,0,3,3,5.1
256,14,1,False,13,15,300,True,1,0,0,4,4,5.3
257,15,15,False,14,15,300,True,2,0,0,5,6,5.1
258,14,3,False,12,15,300,True,1,0,0,6,11,4.9
259,16,20,False,12,15,300,True,2,0,0,3,3,4.8
260,17,87,True,17,14,300,True,3,6,3,1,0,6.2
261,17,61,False,15,14,300,True,1,0,0,5,6,4.2
262,19,52,False,15,14,300,True,4,6,0,2,1,5.0
263,15,63,True,15,14,300,True,2,0,0,4,6,4.6
264,15,53,True,15,14,300,True,2,0,0,5,6,5.0
265,15,74,True,15,14,300,True,2,0,0,5,8,4.5
266,15,98,True,15,14,300,True,1,0,0,4,6,3.8
267,17,66,False,15,14,300,True,2,0,0,4,6,4.2
268,17,22,False,15,14,300,True,2,0,0,3,3,3.7
269,17,49,False,15,14,300,True,2,0,0,4,4,5.4
270,18,12,False,16,14,300,True,2,0,0,4,4,5.1
271,15,64,True,15,14,300,True,1,0,0,3,3,5.2
272,15,96,True,15,14,300,True,1,0,0,4,4,5.0
273,15,75,True,15,14,300,True,2,0,0,4,6,4.8
274,17,11,False,16,14,300,True,1,0,0,3,3,4.4
275,15,97,True,15,13,300,True,3,4,2,1,0,4.4
276,17,12,True,17,13,300,True,2,0,0,3,3,4.1
277,18,49,True,18,13,300,True,1,0,0,4,4,4.8
278,19,76,False,15,12,300,True,4,2,0,3,1,3.5
279,15,12,True,15,11,300,True,3,2,1,1,0,4.6
280,16,34,True,16,11,300,True,3,2,1,1,0,4.6
281,16,58,True,16,11,300,True,3,2,1,1,0,4.3
282,15,37,False,13,11,300,True,1,0,0,3,1,4.3
283,15,38,False,13,11,300,True,2,0,0,3,1,4.9
284,15,1,False,14,11,300,True,1,0,0,3,1,5.1
285,15,7,False,11,11,300,True,2,0,0,3,1,4.3
286,18,1,False,10,11,300,True,2,0,0,3,1,4.7
287,18,56,False,16,10,300,True,1,0,0,4,1,4.6
288,15,45,True,15,10,300,True,1,0,0,3,1,4.9
289,16,64,True,16,10,300,True,1,0,0,3,1,5.1
290,14,7,True,14,9,300,True,1,0,0,2,1,5.9
291,16,2,False,14,9,300,True,1,0,0,2,1,4.8
292,14,11,True,14,9,300,True,1,0,0,2,1,4.5
293,16,19,False,14,9,300,True,1,0,0,2,1,4.8
294,15,26,False,14,9,300,True,1,0,0,2,1,6.8
295,14,14,True,14,9,300,True,1,0,0,2,1,4.0
296,16,12,False,14,9,300,True,1,0,0,2,1,5.0
297,15,21,True,15,8,300,True,1,0,0,2,1,4.4
298,16,80,True,16,8,300,True,2,0,0,2,1,5.4
299,15,34,True,15,8,300,True,1,0,0,2,1,4.9
300,15,57,True,15,8,300,True,1,0,0,2,1,4.9
301,15,50,True,15,8,300,True,2,0,0,2,1,4.5
302,15,80,True,15,8,300,True,1,0,0,2,1,5.0
303,15,49,True,15,8,300,True,1,0,0,2,1,4.7
304,16,16,True,16,8,300,True,1,0,0,2,1,4.6
305,17,77,True,17,7,300,True,2,0,0,2,1,4.6
306,17,6,True,17,7,300,True,1,0,0,2,1,4.4
307,19,43,True,19,6,300,True,2,0,0,2,1,4.8
308,14,0,True,14,5,300,True,1,0,0,1,0,5.5
309,18,61,False,14,5,300,True,1,0,0,1,0,4.9
310,15,39,True,15,4,300,True,1,0,0,1,0,6.3
311,16,48,True,16,4,300,True,1,0,0,1,0,4.6
312,15,13,True,15,4,300,True,1,0,0,1,0,5.2
313,15,5,True,15,4,300,True,2,0,0,1,0,5.7
314,15,3,True,15,4,300,True,1,0,0,1,0,4.8
315,16,49,True,16,4,300,True,1,0,0,1,0,4.9
316,16,15,True,16,4,300,True,1,0,0,1,0,4.7
317,17,40,True,17,3,300,True,1,0,0,1,0,6.8
