rank,poly_idx,score,n_clean,max_h0,n_chi3,n_dp,has_swiss,best_tau,n_k3,n_ell,d3_unique,h11_eff,favorable,n_fibers,has_SM,has_GUT,best_gauge,elapsed
190,2419,22,9,10,2500,6,False,0.0,5,6,8,14,False,6,True,True,su(2) × su(5) × su(6) × U(1)^4,1.6736736297607422
191,42,22,8,12,1404,3,False,0.0,6,8,6,14,False,8,True,True,su(2) × su(3) × su(5) × su(4) × U(1)^2,0.9900534152984619
192,1936,22,7,11,1880,5,False,0.0,5,10,5,15,False,10,True,True,su(3) × su(3) × su(4) × su(6),1.7238273620605469
193,181,22,7,10,776,2,False,0.0,5,6,7,12,False,6,True,True,su(6) × su(5) × U(1)^6,0.3334982395172119
194,2301,22,7,11,1708,2,False,0.0,3,3,6,14,False,3,True,False,su(4) × su(4) × su(2) × su(2) × U(1)^3,1.4364361763000488
195,1023,22,6,16,2144,9,False,0.0,4,4,3,15,False,4,True,True,su(2) × su(2) × su(3) × su(7) × U(1)^3,1.823868989944458
196,222,22,5,16,1572,1,False,0.0,6,8,5,14,False,8,True,True,su(2) × su(4) × su(5) × su(2) × su(3) × U(1)^1,0.7314672470092773
197,4,22,4,12,718,1,False,0.0,4,1,4,11,False,1,True,False,su(3) × U(1)^12,0.21858000755310059
198,3665,22,3,16,2318,8,False,0.0,5,6,3,15,False,6,True,True,su(2) × su(2) × su(5) × su(6) × U(1)^2,1.9237251281738281
199,1376,22,3,19,1456,5,False,0.0,4,4,3,13,False,4,True,True,su(6) × su(6) × U(1)^4,0.6625015735626221
200,95,21,17,10,1950,2,False,0.0,1,0,10,15,False,0,False,False,,1.2878262996673584
