rank,h11,poly_idx,favorable,screen_score,clean_h0_3,h0_ge3,max_h0,n_dp,n_k3,has_swiss,best_tau,best_ratio,sym_order,n_chi3,elapsed_s
102,17,72,False,31,-1,-1,4,5,2,True,1124.999999999889,0.07442417989949851,1,-1,0.6
103,17,86,False,31,-1,-1,4,8,1,True,179.98739669930353,0.008780933019749625,1,-1,0.7
104,17,89,False,31,-1,-1,4,7,3,True,2597.9999999997935,0.06517140160495624,1,-1,0.7
105,18,24,False,31,-1,-1,4,5,2,True,439.9999999978579,0.007832448529596185,1,-1,0.7
106,19,10,False,31,-1,-1,4,5,0,True,3271.4999999975535,0.041022818370156006,1,-1,0.7
107,15,37,False,31,-1,-1,3,5,1,True,37.49999999999956,0.00167287514870828,1,-1,0.6
108,15,41,True,31,-1,-1,3,7,1,True,14435.999997515852,0.02287833713807558,1,-1,0.6
109,15,53,True,31,-1,-1,3,6,1,True,479.9999999999971,0.028548762248770412,1,-1,0.6
110,15,74,True,31,-1,-1,3,6,0,True,2999.999999999007,0.06489722512714029,1,-1,0.6
111,15,82,True,31,-1,-1,3,7,1,True,8987.99999997018,0.09016726170233516,1,-1,0.6
112,15,90,True,31,-1,-1,3,7,0,True,435.49999999235274,0.0031751016489965284,1,-1,0.7
113,16,84,False,31,-1,-1,3,5,1,True,1403.999999999899,0.035428301640074066,1,-1,0.6
114,16,719,False,31,-1,-1,17,7,0,False,,,2,-1,1.9
115,17,96,False,30,-1,-1,37,0,2,True,251.99999999998963,0.022339598990628214,1,-1,0.6
116,16,7,False,30,-1,-1,36,5,0,False,,,1,-1,0.6
117,16,9,False,30,-1,-1,13,5,0,False,,,1,-1,0.6
118,16,53,False,30,-1,-1,12,6,0,False,,,1,-1,0.6
119,16,51,False,30,-1,-1,10,6,0,False,,,1,-1,0.7
120,17,51,False,30,-1,-1,10,0,4,True,209.99999999991198,0.0023587953492591835,1,-1,0.6
121,17,53,False,30,-1,-1,10,0,3,True,1015.9999999999807,0.023534099426863436,1,-1,0.8
122,18,69,False,30,-1,-1,10,8,1,False,None,None,1,-1,0.6
123,19,72,False,30,-1,-1,10,7,0,False,None,None,1,-1,0.7
124,19,66,False,30,-1,-1,8,5,1,True,9851.499999968815,0.07882219841827745,1,-1,0.6
125,17,34,False,30,-1,-1,6,7,1,True,184.49999999997465,0.0031947765945018573,1,-1,0.6
126,18,44,True,30,-1,-1,6,12,1,True,544.4999999987718,0.0025882576236145134,1,-1,0.7
127,19,2,False,30,-1,-1,6,6,1,True,674.9999999172837,0.0023942455688404324,1,-1,0.6
128,19,19,False,30,-1,-1,6,6,1,True,502.99999999928247,0.003523118058482948,1,-1,0.6
129,19,71,False,30,-1,-1,6,7,0,True,63.000446570252315,0.0024468471999723237,1,-1,0.6
130,17,19,False,30,-1,-1,5,5,0,True,291.4999999991793,0.013156193080675262,1,-1,0.7
131,17,75,False,30,-1,-1,5,5,1,True,1347.4999999935897,0.01889472450197702,1,-1,0.7
132,18,53,True,30,-1,-1,5,5,1,True,1479.9999999862785,0.060819226192387894,1,-1,0.8
133,14,17,False,30,-1,-1,4,4,0,True,35.99809653861354,0.010098740842762442,2,-1,0.4
134,15,40,True,30,-1,-1,4,4,2,True,6011.999999208294,0.04360713161826897,2,-1,0.6
135,15,129,True,30,-1,-1,17,7,0,False,,,1,-1,1.0
136,15,139,True,30,-1,-1,10,8,1,False,,,1,-1,1.0
137,15,146,True,30,-1,-1,10,5,0,False,,,1,-1,1.5
138,16,309,False,30,-1,-1,16,7,2,False,,,1,-1,1.0
139,16,280,False,30,-1,-1,12,0,3,True,24.999999999999844,0.010779624400098995,1,-1,1.1
140,18,42,False,29,-1,-1,8,2,1,True,659.9999999998329,0.032128128436290766,1,-1,0.7
141,16,36,False,29,-1,-1,6,2,1,True,279.9430222044936,0.02696265277496231,1,-1,0.8
142,19,43,True,29,-1,-1,5,4,1,True,472.5599958336941,0.0010864555629058613,2,-1,0.9
143,19,75,False,29,-1,-1,5,4,0,True,10.000945931162317,0.00029613672355751383,2,-1,0.7
144,15,16,True,29,-1,-1,4,4,1,True,503.9999999998483,0.058362970777110126,1,-1,0.7
145,15,66,True,29,-1,-1,4,4,1,True,37.48479068223229,0.0010163591131902012,1,-1,0.7
146,15,69,True,29,-1,-1,4,4,1,True,104.49999999999656,0.00425766021930674,1,-1,0.7
147,15,97,True,29,-1,-1,4,4,0,True,1160.742724819815,0.06472850870020583,1,-1,0.6
148,15,98,True,29,-1,-1,4,4,0,True,937.4333535837015,0.05319158095108594,1,-1,0.7
149,16,10,True,29,-1,-1,3,11,0,True,926.9999999932096,0.007060033594454359,4,-1,0.6
150,17,66,False,29,-1,-1,3,4,2,True,890.9999999997218,0.01474988004390367,1,-1,0.6
151,15,23,False,28,-1,-1,10,4,1,False,,,1,-1,1.4
152,17,5,False,28,-1,-1,8,1,2,True,39.99999999999998,0.007420886634156597,2,-1,0.6
153,16,83,True,28,-1,-1,5,4,2,True,1640.1941193464795,0.049650372951439564,1,-1,0.8
154,15,8,True,28,-1,-1,4,3,2,True,419.9409384021702,0.022132165451820642,2,-1,0.7
155,18,76,False,28,-1,-1,4,3,1,True,869.8421714873773,0.010744892450412293,2,-1,0.6
156,15,145,True,28,-1,-1,10,4,1,False,,,1,-1,1.7
157,15,287,True,28,-1,-1,10,4,1,False,,,1,-1,2.9
158,16,203,False,28,-1,-1,19,4,3,False,,,1,-1,0.7
159,16,292,False,28,-1,-1,13,4,0,False,,,1,-1,1.0
160,17,42,False,27,-1,-1,12,3,2,False,None,None,2,-1,0.7
161,15,31,True,27,-1,-1,10,3,1,False,,,2,-1,0.8
162,13,0,True,27,-1,-1,6,1,0,True,575.9999999999025,0.04438547825624633,1,-1,0.4
163,16,50,False,27,-1,-1,4,3,2,True,810.3411098647048,0.03445837994013947,1,-1,0.6
164,16,96,False,27,-1,-1,4,3,2,True,234.66666666659873,0.006703874063410343,1,-1,0.7
165,17,22,False,27,-1,-1,4,3,0,True,2623.999999998769,0.07650625032730131,1,-1,0.7
166,17,56,False,27,-1,-1,4,5,0,True,849.9999999998904,0.04612869962424025,2,-1,0.6
167,19,7,False,27,-1,-1,4,3,0,True,459.9999999999587,0.008159667898147758,1,-1,0.7
168,14,10,False,27,-1,-1,3,3,1,True,77.98169645411822,0.003976592730194546,1,-1,0.5
169,15,21,True,27,-1,-1,3,3,3,True,1149.9999999978531,0.03443956148361648,1,-1,0.7
170,16,33,True,27,-1,-1,3,8,2,True,75.00000000000148,0.008112738340890435,2,-1,0.7
171,16,75,True,27,-1,-1,3,12,0,True,112.77933881220349,0.006686117079637096,2,-1,0.6
172,16,80,True,27,-1,-1,3,7,2,True,6280.999984978034,0.019938969859335097,2,-1,0.6
173,18,56,False,27,-1,-1,3,5,3,True,3817.9999970330728,0.01208940145595267,2,-1,0.6
174,18,65,True,27,-1,-1,3,10,2,True,255.999999999188,0.0012262758932868607,2,-1,0.6
175,18,66,False,27,-1,-1,3,10,1,True,3336.000000008891,0.03435110410499313,2,-1,0.6
176,18,73,True,27,-1,-1,3,6,2,True,150.000000039523,0.0008590586284017458,2,-1,0.6
177,18,86,False,27,-1,-1,3,6,1,True,1160.1238146745077,0.03882216633465576,2,-1,0.6
178,19,13,False,27,-1,-1,3,9,1,True,9.99999999999999,0.0003967216474415105,2,-1,0.6
179,15,164,True,27,-1,-1,10,3,0,False,,,2,-1,1.8
180,18,72,False,26,-1,-1,21,3,1,False,None,None,1,-1,0.7
181,18,41,False,26,-1,-1,17,3,0,False,None,None,1,-1,0.6
182,17,36,False,26,-1,-1,16,3,2,False,None,None,1,-1,0.7
183,14,8,False,26,-1,-1,7,5,0,False,None,None,2,-1,0.5
184,16,3,False,26,-1,-1,7,8,1,False,None,None,2,-1,0.7
185,15,45,True,26,-1,-1,6,7,0,False,None,None,2,-1,0.6
186,18,89,False,26,-1,-1,5,3,2,True,1219.9999999973825,0.012427178988210885,1,-1,0.7
187,19,39,False,26,-1,-1,5,3,1,True,5.999999998861586,2.0930901033579092e-05,1,-1,1.0
188,17,25,False,26,-1,-1,4,2,1,True,55.99999999999886,0.0037041005103757136,2,-1,0.7
189,17,49,False,26,-1,-1,4,2,2,True,156.00000000000028,0.0028794831443494833,2,-1,0.7
