h11,h21,poly_idx,favorable,h11_eff,max_h0_025,n_chi3_025,n_dp,dp_types,n_k3_div,n_rigid,has_swiss,n_swiss,best_swiss_tau,best_swiss_ratio,sym_order,screen_score,elapsed,status,error
18,21,85062,True,18,3,1842,15,dP7|dP7|dP8|dP8|dP5|dP6|dP4|dP5|dP4|dP4|dP4|dP4|dP4|dP4|dP4,0,18,True,1,416.0,0.02945,1,26,444.53874254226685,ok,
18,21,85069,True,18,3,1554,9,dP6|dP5|dP4|dP4|dP4|dP6|dP5|dP4|dP5,1,17,True,2,312.0,0.01703,1,26,454.3702435493469,ok,
18,21,85071,True,18,3,1830,12,dP7|dP4|dP4|dP7|dP5|dP5|dP8|dP7|dP4|dP6|dP4|dP4,1,17,True,1,200.0,0.01188,1,26,415.0240943431854,ok,
18,21,85091,True,18,3,1886,15,dP6|dP6|dP8|dP5|dP8|dP5|dP5|dP7|dP5|dP5|dP5|dP5|dP4|dP4|dP4,0,18,True,1,550.0,0.03605,1,26,439.20698618888855,ok,
18,21,85079,True,18,3,1434,4,dP7|dP6|dP5|dP5,2,16,False,0,,,1,14,467.4002637863159,ok,
18,21,85074,True,18,3,2088,12,dP8|dP7|dP8|dP6|dP7|dP5|dP5|dP6|dP4|dP6|dP6|dP4,0,18,False,0,,,1,16,470.1436040401459,ok,
18,21,85103,True,18,3,2128,14,dP5|dP8|dP6|dP5|dP8|dP4|dP8|dP5|dP4|dP6|dP5|dP5|dP5|dP5,0,18,True,1,908.0,0.05792,1,26,433.3657035827637,ok,
18,21,85105,True,18,3,2316,13,dP8|dP6|dP7|dP4|dP8|dP7|dP7|dP5|dP4|dP4|dP5|dP4|dP7,1,17,True,2,245.0,0.05731,1,26,453.10539841651917,ok,
18,21,85136,True,18,3,1876,11,dP7|dP5|dP8|dP6|dP4|dP7|dP8|dP5|dP4|dP4|dP4,2,16,True,2,300.0,0.01664,1,26,305.964373588562,ok,
18,21,85137,True,18,3,1862,9,dP8|dP7|dP8|dP7|dP5|dP4|dP5|dP6|dP6,1,17,True,2,150.0,0.00973,1,26,319.6425995826721,ok,
18,21,85120,True,18,3,1590,10,dP6|dP6|dP4|dP5|dP4|dP5|dP5|dP5|dP4|dP4,1,17,False,0,,,1,16,458.7566876411438,ok,
18,21,85130,True,18,3,2066,11,dP7|dP5|dP6|dP8|dP6|dP6|dP4|dP4|dP4|dP4|dP4,1,17,False,0,,,1,16,454.5102825164795,ok,
18,21,85131,True,18,3,1998,11,dP8|dP8|dP7|dP6|dP7|dP6|dP5|dP5|dP4|dP5|dP4,0,18,False,0,,,1,16,407.29403805732727,ok,
18,21,85133,True,18,3,1650,8,dP7|dP7|dP6|dP6|dP8|dP5|dP5|dP4,1,17,True,2,374.0,0.02541,1,26,450.2287700176239,ok,
18,21,85150,True,18,3,2258,12,dP6|dP8|dP8|dP7|dP5|dP6|dP7|dP6|dP6|dP5|dP4|dP4,0,18,False,0,,,1,16,322.20998883247375,ok,
18,21,85144,True,18,3,1766,14,dP5|dP5|dP5|dP4|dP4|dP4|dP4|dP6|dP8|dP8|dP6|dP6|dP4|dP4,2,16,False,0,,,1,16,452.5510504245758,ok,
18,21,85145,True,18,3,2006,13,dP8|dP6|dP6|dP8|dP6|dP5|dP6|dP4|dP6|dP5|dP4|dP4|dP5,0,18,False,0,,,1,16,451.2949478626251,ok,
18,21,85157,True,18,3,2054,12,dP7|dP7|dP8|dP5|dP6|dP6|dP6|dP7|dP5|dP5|dP5|dP5,0,18,False,0,,,1,16,371.75204491615295,ok,
18,21,85161,True,18,3,1964,11,dP8|dP8|dP5|dP5|dP4|dP6|dP8|dP5|dP7|dP6|dP4,0,18,True,4,192.0,0.01182,1,26,449.98183846473694,ok,
18,21,85165,True,18,3,1982,11,dP4|dP8|dP8|dP5|dP8|dP5|dP5|dP6|dP5|dP4|dP5,2,16,False,0,,,1,16,453.3744583129883,ok,
18,21,85200,True,18,3,1622,12,dP8|dP6|dP5|dP4|dP6|dP5|dP7|dP7|dP4|dP4|dP6|dP4,0,18,False,0,,,1,16,330.55359745025635,ok,
18,21,85168,True,18,3,1640,9,dP5|dP4|dP7|dP6|dP5|dP4|dP6|dP5|dP5,2,16,True,3,100.0,0.00185,1,26,433.62074637413025,ok,
18,21,85233,True,18,3,1998,13,dP6|dP4|dP8|dP6|dP7|dP5|dP4|dP8|dP4|dP7|dP5|dP4|dP4,0,18,True,2,450.0,0.01615,1,26,268.0331997871399,ok,
18,21,85193,True,18,3,2044,10,dP8|dP8|dP5|dP8|dP5|dP5|dP7|dP4|dP5|dP4,0,18,True,1,412.7,0.06055,1,26,389.48701214790344,ok,
