h11,h21,poly_idx,favorable,h11_eff,n_chi3,n_computed,max_h0,first_hit_at,n_ambient_skip,status
18,21,101662,True,18,2256,2256,0,-1,2256,skip
18,21,101663,True,18,1972,1029,3,1029,1028,pass
18,21,101664,True,18,2382,2382,0,-1,2382,skip
18,21,101665,True,18,2048,2048,0,-1,2048,skip
18,21,101666,True,18,1852,1852,0,-1,1852,skip
18,21,101667,True,18,2488,2488,0,-1,2488,skip
18,21,101668,True,18,2388,2388,0,-1,2388,skip
18,21,101669,True,18,1902,1902,0,-1,1902,skip
18,21,101670,True,18,2194,2194,0,-1,2194,skip
18,21,101671,True,18,2100,2100,0,-1,2100,skip
18,21,101672,True,18,2538,2538,0,-1,2538,skip
18,21,101673,True,18,2004,2004,0,-1,2004,skip
18,21,101674,True,18,2324,2324,0,-1,2324,skip
18,21,101675,True,18,2040,2040,0,-1,2040,skip
18,21,101676,True,18,2102,2102,0,-1,2102,skip
18,21,101677,True,18,2194,2194,0,-1,2194,skip
18,21,101678,True,18,2214,2214,0,-1,2214,skip
18,21,101679,True,18,1916,1916,0,-1,1916,skip
18,21,101680,True,18,2124,2124,0,-1,2124,skip
18,21,101681,True,18,1804,1804,0,-1,1804,skip
18,21,101682,True,18,2164,2164,0,-1,2164,skip
18,21,101683,True,18,2266,2266,0,-1,2266,skip
18,21,101684,True,18,1722,1722,0,-1,1722,skip
18,21,101685,True,18,2178,2178,0,-1,2178,skip
18,21,101686,True,18,2028,2028,0,-1,2028,skip
18,21,101687,True,18,1986,1986,0,-1,1986,skip
18,21,101688,True,18,1944,1944,0,-1,1944,skip
18,21,101689,True,18,2140,2140,0,-1,2140,skip
18,21,101690,True,18,2076,2076,0,-1,2076,skip
18,21,101691,True,18,2326,2326,0,-1,2326,skip
18,21,101692,True,18,2060,2060,0,-1,2060,skip
18,21,101693,True,18,1920,1920,0,-1,1920,skip
18,21,101694,True,18,2074,2074,0,-1,2074,skip
18,21,101695,True,18,2120,2120,0,-1,2120,skip
18,21,101696,True,18,2206,2206,0,-1,2206,skip
18,21,101697,True,18,2002,2002,0,-1,2002,skip
18,21,101698,True,18,2070,2070,0,-1,2070,skip
18,21,101699,True,18,2584,2584,0,-1,2584,skip
18,21,101700,True,18,2206,2206,0,-1,2206,skip
18,21,101701,True,18,2198,2198,0,-1,2198,skip
18,21,101702,True,18,2324,2324,0,-1,2324,skip
18,21,101703,True,18,2204,2204,0,-1,2204,skip
18,21,101704,True,18,2434,2434,0,-1,2434,skip
18,21,101705,True,18,2398,2398,0,-1,2398,skip
18,21,101706,True,18,2058,2058,0,-1,2058,skip
18,21,101707,True,18,2240,505,3,505,504,pass
18,21,101708,True,18,2126,2126,0,-1,2126,skip
18,21,101709,True,18,2028,2028,0,-1,2028,skip
18,21,101710,True,18,2344,2344,0,-1,2344,skip
18,21,101711,True,18,2154,2154,0,-1,2154,skip
18,21,101712,True,18,2210,2210,0,-1,2210,skip
18,21,101713,True,18,1740,1740,0,-1,1740,skip
18,21,101714,True,18,2078,2078,0,-1,2078,skip
18,21,101715,True,18,2386,2386,0,-1,2386,skip
18,21,101716,True,18,2028,2028,0,-1,2028,skip
18,21,101717,True,18,1872,1872,0,-1,1872,skip
18,21,101718,True,18,2252,609,3,609,608,pass
18,21,101719,True,18,1990,1990,0,-1,1990,skip
18,21,101720,True,18,1992,1992,0,-1,1992,skip
18,21,101721,True,18,1572,7,3,7,6,pass
18,21,101722,True,18,1634,9,3,9,8,pass
18,21,101723,True,18,1978,405,3,405,404,pass
18,21,101724,True,18,2162,2162,0,-1,2162,skip
18,21,101725,True,18,2236,2236,0,-1,2236,skip
18,21,101726,True,18,1660,1660,0,-1,1660,skip
18,21,101727,True,18,2098,2098,0,-1,2098,skip
18,21,101728,True,18,2208,2208,0,-1,2208,skip
18,21,101729,True,18,2000,2000,0,-1,2000,skip
18,21,101730,True,18,2420,2420,0,-1,2420,skip
18,21,101731,True,18,2312,2312,0,-1,2312,skip
18,21,101732,True,18,2018,2018,0,-1,2018,skip
18,21,101733,True,18,1980,1980,0,-1,1980,skip
18,21,101734,True,18,2052,2052,0,-1,2052,skip
18,21,101735,True,18,1962,1962,0,-1,1962,skip
18,21,101736,True,18,2222,2222,0,-1,2222,skip
18,21,101737,True,18,1840,1840,0,-1,1840,skip
18,21,101738,True,18,1986,1986,0,-1,1986,skip
18,21,101739,True,18,2376,2376,0,-1,2376,skip
18,21,101740,True,18,1258,1258,0,-1,1258,skip
18,21,101741,True,18,2024,2024,0,-1,2024,skip
18,21,101742,True,18,1824,1824,0,-1,1824,skip
18,21,101743,True,18,2082,2082,0,-1,2082,skip
18,21,101744,True,18,1944,1944,0,-1,1944,skip
18,21,101745,True,18,2036,2036,0,-1,2036,skip
18,21,101746,True,18,2500,2500,0,-1,2500,skip
18,21,101747,True,18,1686,1686,0,-1,1686,skip
18,21,101748,True,18,2112,2112,0,-1,2112,skip
18,21,101749,True,18,2142,2142,0,-1,2142,skip
18,21,101750,True,18,1664,1664,0,-1,1664,skip
18,21,101751,True,18,1468,1468,0,-1,1468,skip
18,21,101752,True,18,2418,2418,0,-1,2418,skip
18,21,101753,True,18,2336,2336,0,-1,2336,skip
18,21,101754,True,18,2232,2232,0,-1,2232,skip
18,21,101755,True,18,2160,2160,0,-1,2160,skip
18,21,101756,True,18,2128,2128,0,-1,2128,skip
18,21,101757,True,18,1942,1942,0,-1,1942,skip
18,21,101758,True,18,1764,1764,0,-1,1764,skip
18,21,101759,True,18,2146,2146,0,-1,2146,skip
18,21,101760,True,18,2166,2166,0,-1,2166,skip
18,21,101761,True,18,1878,1878,0,-1,1878,skip
18,21,101762,True,18,1746,1746,0,-1,1746,skip
18,21,101763,True,18,2004,2004,0,-1,2004,skip
18,21,101764,True,18,2102,2102,0,-1,2102,skip
18,21,101765,True,18,2718,2718,0,-1,2718,skip
18,21,101766,True,18,1846,1846,0,-1,1846,skip
18,21,101767,True,18,1952,1952,0,-1,1952,skip
18,21,101768,True,18,1990,1990,0,-1,1990,skip
18,21,101769,True,18,1704,1704,0,-1,1704,skip
18,21,101770,True,18,2004,2004,0,-1,2004,skip
18,21,101771,True,18,1978,1978,0,-1,1978,skip
18,21,101772,True,18,2590,2590,0,-1,2590,skip
18,21,101773,True,18,2554,2554,0,-1,2554,skip
18,21,101774,True,18,2088,2088,0,-1,2088,skip
18,21,101775,True,18,1804,1804,0,-1,1804,skip
18,21,101776,True,18,2310,2310,0,-1,2310,skip
18,21,101777,True,18,2156,2156,0,-1,2156,skip
18,21,101778,True,18,2266,2266,0,-1,2266,skip
18,21,101779,True,18,2398,2398,0,-1,2398,skip
18,21,101780,True,18,1912,1912,0,-1,1912,skip
18,21,101781,True,18,2224,2224,0,-1,2224,skip
18,21,101782,True,18,2316,2316,0,-1,2316,skip
18,21,101783,True,18,1300,1300,0,-1,1300,skip
18,21,101784,True,18,2062,2062,0,-1,2062,skip
18,21,101785,True,18,2080,2080,0,-1,2080,skip
18,21,101786,True,18,1878,1878,0,-1,1878,skip
18,21,101787,True,18,1254,1254,0,-1,1254,skip
18,21,101788,True,18,1838,1838,0,-1,1838,skip
18,21,101789,True,18,1996,1996,0,-1,1996,skip
18,21,101790,True,18,1848,1848,0,-1,1848,skip
18,21,101791,True,18,1778,1778,0,-1,1778,skip
18,21,101792,True,18,2054,2054,0,-1,2054,skip
18,21,101793,True,18,2008,2008,0,-1,2008,skip
18,21,101794,True,18,1766,1766,0,-1,1766,skip
18,21,101795,True,18,2266,2266,0,-1,2266,skip
18,21,101796,True,18,1930,1930,0,-1,1930,skip
18,21,101797,True,18,1624,1624,0,-1,1624,skip
18,21,101798,True,18,2052,2052,0,-1,2052,skip
18,21,101799,True,18,2142,2142,0,-1,2142,skip
18,21,101800,True,18,1908,1908,0,-1,1908,skip
18,21,101801,True,18,2292,2292,0,-1,2292,skip
18,21,101802,True,18,2212,2212,0,-1,2212,skip
18,21,101803,True,18,1632,1632,0,-1,1632,skip
18,21,101804,True,18,2052,2052,0,-1,2052,skip
18,21,101805,True,18,2388,2388,0,-1,2388,skip
18,21,101806,True,18,2060,2060,0,-1,2060,skip
18,21,101807,True,18,1984,1984,0,-1,1984,skip
18,21,101808,True,18,2318,2318,0,-1,2318,skip
18,21,101809,True,18,1762,1762,0,-1,1762,skip
18,21,101810,True,18,2066,2066,0,-1,2066,skip
18,21,101811,True,18,1342,1342,0,-1,1342,skip
18,21,101812,True,18,1854,1854,0,-1,1854,skip
18,21,101813,True,18,1982,1982,0,-1,1982,skip
18,21,101814,True,18,2364,2364,0,-1,2364,skip
18,21,101815,True,18,1656,1656,0,-1,1656,skip
18,21,101816,True,18,1636,1636,0,-1,1636,skip
18,21,101817,True,18,2004,2004,0,-1,2004,skip
18,21,101818,True,18,2290,2290,0,-1,2290,skip
18,21,101819,True,18,1566,1566,0,-1,1566,skip
18,21,101820,True,18,2180,2180,0,-1,2180,skip
18,21,101821,True,18,2170,2170,0,-1,2170,skip
18,21,101822,True,18,2248,2248,0,-1,2248,skip
18,21,101823,True,18,1800,1800,0,-1,1800,skip
18,21,101824,True,18,2042,2042,0,-1,2042,skip
18,21,101825,True,18,1970,1970,0,-1,1970,skip
18,21,101826,True,18,1482,1482,0,-1,1482,skip
18,21,101827,True,18,2388,2388,0,-1,2388,skip
18,21,101828,True,18,2074,2074,0,-1,2074,skip
18,21,101829,True,18,2420,2420,0,-1,2420,skip
18,21,101830,True,18,2198,2198,0,-1,2198,skip
18,21,101831,True,18,2000,2000,0,-1,2000,skip
18,21,101832,True,18,2124,2124,0,-1,2124,skip
18,21,101833,True,18,1634,1634,0,-1,1634,skip
18,21,101834,True,18,1592,1592,0,-1,1592,skip
18,21,101835,True,18,1286,1286,0,-1,1286,skip
18,21,101836,True,18,1908,1908,0,-1,1908,skip
18,21,101837,True,18,2286,2286,0,-1,2286,skip
18,21,101838,True,18,2506,2506,0,-1,2506,skip
18,21,101839,True,18,1572,1572,0,-1,1572,skip
18,21,101840,True,18,2210,2210,0,-1,2210,skip
18,21,101841,True,18,1918,1918,0,-1,1918,skip
18,21,101842,True,18,2060,2060,0,-1,2060,skip
18,21,101843,True,18,2030,2030,0,-1,2030,skip
18,21,101844,True,18,1604,1604,0,-1,1604,skip
18,21,101845,True,18,1688,1688,0,-1,1688,skip
18,21,101846,True,18,1802,1802,0,-1,1802,skip
18,21,101847,True,18,1398,1398,0,-1,1398,skip
18,21,101848,True,18,1710,1710,0,-1,1710,skip
18,21,101849,True,18,2090,2090,0,-1,2090,skip
18,21,101850,True,18,2190,2190,0,-1,2190,skip
18,21,101851,True,18,2260,2260,0,-1,2260,skip
18,21,101852,True,18,1916,1916,0,-1,1916,skip
18,21,101853,True,18,2118,2118,0,-1,2118,skip
18,21,101854,True,18,2272,2272,0,-1,2272,skip
18,21,101855,True,18,2114,2114,0,-1,2114,skip
18,21,101856,True,18,1580,563,3,563,562,pass
